prod_no,fix_time,a_speed,b_speed,separation,s_separation,rate_terms,mpa,load_time,highpressure_time,c_thickness
45231-3B610,82.1,0.731,1.574,180.8,722.5,91,72.7,19.7,73,22.6
45231-3B610,82.2,0.741,1.592,180,723.1,92,72.8,19.7,66,22.8
45231-3B610,82.2,0.733,1.592,183.2,722.1,91,72.7,19.7,67,20.6
45231-3B610,82,0.756,1.587,182,722.8,91,72.8,19.7,76,21.1
45231-3B610,82.3,0.742,1.585,181.4,722.7,92,72.8,19.7,68,21.8
45231-3B610,81.9,0.749,1.603,182.2,723.2,91,72.7,19.7,68,20.5
45231-3B610,82.1,0.733,1.606,180.5,723.4,91,72.8,19.7,69,22
45231-3B610,82.2,0.749,1.61,178.4,723.5,92,72.7,19.7,70,24
45231-3B610,82,0.744,1.606,179.1,722.8,92,72.7,19.7,73,24
45231-3B610,82.1,0.75,1.601,182.7,721.4,91,72.8,19.7,70,21.8
45231-3B610,82,0.744,1.576,179,723.1,92,72.7,19.7,70,23.8
45231-3B610,82,0.731,1.581,181.9,722.7,91,72.8,19.7,65,21.3
45231-3B610,82,0.742,1.581,180.5,721.3,92,72.8,19.7,68,24.1
45231-3B610,82,0.742,1.592,179.8,723.1,91,72.8,19.7,70,23
45231-3B610,82,0.738,1.585,180.6,722.8,93,72.9,19.7,76,22.5
45231-3B610,82,0.73,1.567,179.5,723.8,93,72.8,19.7,71,22.6
45231-3B610,81.9,0.755,1.571,181.2,723.4,91,72.8,19.7,68,21.3
45231-3B610,81.9,0.742,1.573,181.5,722.9,92,72.7,19.7,66,21.5
45231-3B610,81.9,0.735,1.563,180.9,722.9,91,72.7,19.7,73,22.1
45231-3B610,81.9,0.761,1.565,180.2,723.4,91,72.6,19.7,69,22.3
45231-3B610,81.9,0.752,1.563,179.9,724.1,92,72.7,19.7,65,21.9
45231-3B610,82.1,0.752,1.565,179.7,723.9,92,72.6,19.7,68,22.3
45231-3B610,82.1,0.731,1.555,182,722.4,92,72.7,19.7,76,21.5
45231-3B610,82.1,0.734,1.559,181.7,723.1,91,72.7,19.7,71,21.1
45231-3B610,82,0.738,1.573,181.5,723.3,92,72.7,19.7,70,21.1
45231-3B610,82.1,0.747,1.564,180.4,724.5,92,72.6,19.7,66,21
45231-3B610,82.1,0.735,1.546,180,723.6,92,72.7,19.7,72,22.3
45231-3B610,82.1,0.738,1.557,183,721.3,92,72.6,19.7,72,21.6
45231-3B610,82.1,0.744,1.563,180.6,723.8,91,72.6,19.7,68,21.5
45231-3B610,82.1,0.738,1.558,180.9,722.7,91,72.6,19.7,73,22.3
45231-3B610,82.2,0.744,1.565,180.6,723.4,91,72.6,19.7,70,21.9
45231-3B610,82.2,0.741,1.582,182.7,721.6,91,72.6,19.7,65,21.6
45231-3B610,81.9,0.731,1.577,181.8,721.6,91,72.7,19.7,70,22.5
45231-3B610,82.1,0.736,1.57,179.8,723.3,92,72.6,19.7,68,22.8
45231-3B610,82.1,0.733,1.549,181,722.9,91,72.6,19.7,66,22
45231-3B610,82.1,0.741,1.567,180.4,723.1,91,72.6,19.7,68,22.4
45231-3B610,82.1,0.733,1.565,180.3,722.7,92,72.6,19.7,68,22.9
45231-3B610,82.1,0.757,1.56,179,724.1,91,72.6,19.7,66,22.8
45231-3B610,82.1,0.745,1.567,181.7,722.6,90,72.6,19.7,68,21.6
45231-3B610,82.1,0.733,1.564,177.8,724.1,91,72.7,19.7,69,24
45231-3B610,82.1,0.732,1.547,178.5,723.6,92,72.7,19.7,72,23.8
45231-3B610,82.1,0.756,1.567,180.2,723.2,91,72.6,19.7,75,22.5
45231-3B610,82.2,0.742,1.578,179.3,722.6,92,72.6,19.7,74,24
45231-3B610,82.1,0.773,1.56,178.4,725.1,92,72.6,19.7,68,22.4
45231-3B610,82.1,0.755,1.546,178.6,725.6,91,72.6,19.7,70,21.7
45231-3B610,82.1,0.744,1.555,179.7,723.4,91,72.7,19.7,71,22.8
45231-3B610,82.1,0.735,1.555,180.2,723.4,92,72.6,19.7,67,22.3
45231-3B610,82.1,0.739,1.563,179.1,723.8,91,72.5,19.7,68,23
45231-3B610,82.2,0.75,1.561,180.9,722.7,91,72.6,19.7,66,22.3
45231-3B610,82.2,0.735,1.555,178.2,723.8,92,72.6,19.7,74,23.9
45231-3B610,82.2,0.731,1.563,179,724.6,91,72.6,19.7,67,22.3
45231-3B610,82.1,0.758,1.539,177.3,725.3,91,72.7,19.7,71,23.3
45231-3B610,82.1,0.759,1.549,180.4,723.8,92,72.6,19.7,72,21.7
45231-3B610,82.2,0.749,1.558,179.4,723.7,91,72.7,19.7,78,22.8
45231-3B610,82.2,0.749,1.561,178.1,724.7,91,72.6,19.7,67,23.1
45231-3B610,82.1,0.743,1.563,179.9,722.9,91,72.6,19.7,67,23.1
45231-3B610,82.2,0.734,1.558,179.2,724.1,91,72.7,19.7,75,22.6
45231-3B610,82.1,0.748,1.543,180,723.3,91,72.7,19.7,73,22.6
45231-3B610,82.1,0.744,1.549,178.4,723.5,92,72.7,19.7,74,24
45231-3B610,82.1,0.73,1.546,178.9,722.9,91,72.6,19.7,68,24.1
45231-3B610,82.1,0.745,1.545,179.1,724.7,91,72.7,19.7,78,22.1
45231-3B610,82.2,0.735,1.557,178.1,724.8,91,72.6,19.7,69,23
45231-3B610,82.1,0.725,1.531,179.7,723.4,91,72.7,19.7,75,22.8
45231-3B610,82.1,0.744,1.543,182.1,723,92,72.7,19.7,68,20.8
45231-3B610,82.1,0.749,1.554,178.6,724.8,91,72.7,19.7,75,22.5
45231-3B610,82.1,0.747,1.549,182.3,723,91,72.7,19.7,71,20.6
45231-3B610,82.2,0.748,1.535,181.3,723.4,92,72.7,19.7,72,21.2
45231-3B610,82.1,0.749,1.539,179.4,725.3,91,72.6,19.7,66,21.2
45231-3B610,82.1,0.736,1.542,177.6,725.2,91,72.7,19.7,75,23.1
45231-3B610,82.1,0.758,1.548,178.8,725,91,72.7,19.7,68,22.1
45231-3B610,82.1,0.743,1.554,179.9,722.8,91,72.7,19.7,70,23.2
45231-3B610,82.1,0.742,1.557,178.1,723.6,91,72.8,19.7,81,24.2
45231-3B610,82.1,0.747,1.56,177.5,724.4,92,72.8,19.7,75,24
45231-3B610,82.1,0.755,1.565,179.4,723.6,92,72.7,19.7,70,22.9
45231-3B610,82.1,0.758,1.555,177,724.8,91,72.8,19.7,72,24.1
45231-3B610,82.1,0.752,1.549,178.9,723.6,91,72.7,19.7,69,23.4
45231-3B610,82.1,0.749,1.552,177.7,725,91,72.7,19.7,71,23.2
45231-3B610,82.1,0.763,1.524,179.9,724.7,92,72.6,19.7,72,21.3
45231-3B610,82.1,0.743,1.54,180.7,723.4,92,72.6,19.7,68,21.8
45231-3B610,82.1,0.757,1.54,179.1,725.1,91,72.6,19.7,67,21.7
45231-3B610,82.1,0.743,1.548,180.3,723.2,91,72.7,19.7,71,22.4
45231-3B610,82.1,0.731,1.568,180.8,723.6,92,72.7,19.7,78,21.5
45231-3B610,82.1,0.745,1.534,180.3,723.1,91,72.6,19.7,69,22.5
45231-3B610,82.1,0.742,1.542,181,723.1,91,72.6,19.7,69,21.8
45231-3B610,82.1,0.744,1.541,180.8,723.3,91,72.6,19.7,70,21.8
45231-3B610,81.7,0.742,1.558,180.2,723.4,91,72.7,19.7,68,22.3
45231-3B610,82.2,0.747,1.56,178.6,723.8,91,72.7,19.7,70,23.5
45231-3B610,82.1,0.736,1.577,180.8,722.6,91,72.6,19.7,69,22.5
45231-3B610,82.1,0.735,1.549,182.6,722.8,91,72.6,19.7,65,20.5
45231-3B610,82,0.749,1.56,180.2,725.4,90,72.4,19.7,69,20.3
45231-3B610,82.1,0.748,1.536,171.8,725.6,91,26.3,19.7,101,28.5
45231-3B610,82.1,0.498,1.582,233.5,679.1,90,29.8,19.7,101,32.5
45231-3B610,81.8,0.502,1.582,233.5,679.1,90,30,19.7,101,30
45231-3B610,81.8,0.505,1.582,233.5,679.1,91,30.1,19.7,101,29.5
45231-3B610,81.9,0.503,1.582,233.5,679.1,91,30,19.7,101,29.6
45231-3B610,95.7,0.647,1.582,233.5,679.1,91,72,21.7,101,13.3
45231-3B610,81.9,0.747,1.488,180.7,722.7,91,72.7,19.7,72,22.5
45231-3B610,82.1,0.743,1.469,180.1,723.5,91,72.8,19.7,71,22.3
45231-3B610,81.9,0.728,1.49,180.7,723.4,92,72.8,19.7,75,21.8
45231-3B610,82.1,0.743,1.493,178.7,725.4,91,72.8,19.7,71,21.8
45231-3B610,81.9,0.739,1.5,178.5,723.4,92,72.8,19.7,72,24
45231-3B610,82.1,0.748,1.479,178.4,724.8,92,72.8,19.7,68,22.7
45231-3B610,81.9,0.755,1.489,178.8,723.6,92,72.8,19.7,72,23.5
45231-3B610,82,0.745,1.496,179.5,723.1,93,72.8,19.7,70,23.3
45231-3B610,82.1,0.733,1.471,179.7,721.6,92,72.8,19.7,71,24.6
45231-3B610,82.1,0.736,1.479,179.5,723.1,92,72.8,19.7,69,23.3
45231-3B610,82.1,0.753,1.494,178.4,723.8,91,72.9,19.7,70,23.7
45231-3B610,82.1,0.738,1.492,178.1,724.1,92,72.9,19.7,75,23.7
45231-3B610,81.9,0.749,1.485,178,723.9,91,72.8,19.7,75,24
45231-3B610,82.1,0.738,1.481,178.7,723.3,92,72.8,19.7,69,23.9
45231-3B610,82.1,0.739,1.453,179.8,723.1,92,72.8,19.7,75,23
45231-3B610,82.1,0.721,1.469,183.6,721,91,72.9,19.7,75,21.3
45231-3B610,82.1,0.736,1.499,181.1,723.3,92,72.9,19.7,71,21.5
45231-3B610,82.1,0.739,1.486,179.8,724.3,92,72.9,19.7,73,21.8
45231-3B610,82.1,0.749,1.471,179.5,725.1,92,72.8,19.7,77,21.3
45231-3B610,82.1,0.743,1.467,180.8,724.1,93,72.8,19.7,69,21
45231-3B610,82.1,0.735,1.481,180.9,723.3,92,72.9,19.7,72,21.7
45231-3B610,81.8,0.749,1.467,177.9,724.3,93,72.9,19.7,79,23.7
45231-3B610,81.8,0.731,1.47,178.3,723.4,92,72.8,19.7,78,24.2
45231-3B610,82.1,0.758,1.474,177.4,727.2,93,72.8,19.7,71,21.3
45231-3B610,82.1,0.732,1.47,179.7,722.9,92,72.8,19.7,75,23.3
45231-3B610,82.1,0.736,1.484,178.5,724.1,92,72.8,19.7,70,23.3
45231-3B610,82,0.752,1.464,177,725.1,92,72.8,19.7,70,23.8
45231-3B610,82,0.747,1.465,177.2,724.8,91,72.9,19.7,76,23.9
45231-3B610,82.1,0.744,1.466,178.2,723.3,92,72.8,19.7,70,24.4
45231-3B610,82.1,0.749,1.463,175.6,726.3,91,72.9,19.7,69,24
45231-3B610,81.9,0.734,1.456,178.1,724.3,92,72.8,19.7,69,23.5
45231-3B610,81.9,0.732,1.461,177.7,725.4,92,72.9,19.7,70,22.8
45231-3B610,82,0.749,1.472,178.3,725.1,91,72.9,19.7,70,22.5
45231-3B610,82,0.736,1.467,177.8,723.8,92,72.9,19.7,66,24.3
45231-3B610,81.9,0.751,1.463,176.8,724.8,92,72.9,19.7,78,24.3
45231-3B610,81.9,0.747,1.458,176.5,725.3,91,72.9,19.7,68,24.1
45231-3B610,81.9,0.745,1.46,178.1,723.3,92,72.9,19.7,68,24.5
45231-3B610,81.9,0.763,1.447,176.8,725.3,92,72.9,19.7,71,23.8
45231-3B610,82,0.742,1.462,177.6,724.6,92,73,19.7,71,23.7
45231-3B610,81.9,0.741,1.465,177.6,724.3,91,73,19.7,71,24
45231-3B610,81.3,0.744,1.448,177.4,725.2,92,72.9,19.7,68,23.3
45231-3B610,81.9,0.732,1.454,181,723.4,92,72.9,19.7,69,21.5
45231-3B610,81.9,0.736,1.467,179.3,725.1,92,73,19.7,68,21.5
45231-3B610,82,0.725,1.473,180.4,723.2,92,73,19.7,71,22.3
45231-3B610,81.6,0.739,1.476,179.9,722.1,92,73,19.7,71,23.9
45231-3B610,81.8,0.73,1.486,178.3,723.6,91,73,19.7,70,24
45231-3B610,81.8,0.742,1.489,178.6,723,91,73,19.7,72,24.3
45231-3B610,82,0.734,1.484,177.4,723.9,92,73.1,19.7,76,24.6
45231-3B610,82,0.757,1.485,176.1,724.6,91,73,19.7,72,25.2
45231-3B610,82.1,0.732,1.503,179.5,721.8,91,73,19.7,69,24.6
45231-3B610,82.1,0.736,1.487,175.9,725.2,93,73,19.7,72,24.8
45231-3B610,82,0.73,1.494,179.3,722.7,91,72.9,19.7,68,23.9
45231-3B610,82,0.733,1.489,180.5,723.4,93,73,19.7,70,22
45231-3B610,82,0.742,1.497,182.1,722.3,92,73.1,19.7,72,21.5
45231-3B610,81.8,0.732,1.486,178.2,723.4,92,73,19.7,73,24.3
45231-3B610,81.8,0.742,1.504,179.2,722.9,91,73,19.7,72,23.8
45231-3B610,81.8,0.743,1.501,176.8,724.3,92,73.1,19.7,75,24.8
45231-3B610,81.6,0.744,1.519,178.4,723.4,92,73,19.7,74,24.1
45231-3B610,81.6,0.745,1.517,177.6,722.7,91,73.1,19.7,70,25.6
45231-3B610,82,0.731,1.51,179.7,721.1,92,73,19.7,70,25.1
45231-3B610,82,0.749,1.507,179.7,722.9,92,72.9,19.7,70,23.3
45231-3B610,82,0.73,1.511,177.6,723.5,91,73,19.7,73,24.8
45231-3B610,82,0.753,1.51,179.9,722,91,73,19.7,70,24
45231-3B610,82,0.742,1.493,177.3,723.1,92,73,19.7,71,25.5
45231-3B610,82,0.756,1.512,178.4,722.8,92,73,19.7,70,24.7
45231-3B610,82,0.733,1.513,178.9,721.3,92,73.1,19.7,74,25.7
45231-3B610,82,0.741,1.497,179.9,723,91,73,19.7,70,23
45231-3B610,81.9,0.748,1.525,181.2,721.3,91,73,19.7,72,23.4
45231-3B610,81.9,0.745,1.518,179,723.4,92,73.1,19.7,82,23.5
45231-3B610,82,0.742,1.518,179.6,721.7,91,73,19.7,72,24.6
45231-3B610,82.1,0.734,1.518,177.7,722.7,92,73,19.7,68,25.5
45231-3B610,82.1,0.728,1.513,180.4,721,92,73,19.7,69,24.5
45231-3B610,82.1,0.748,1.518,176.9,723.4,92,73.1,19.7,75,25.6
45231-3B610,82.1,0.757,1.517,178.3,723,92,73,19.7,73,24.6
45231-3B610,82.2,0.757,1.511,177.7,723.1,92,73.1,19.7,72,25.1
45231-3B610,82.2,0.724,1.527,179,721.6,92,73.1,19.7,70,25.3
45231-3B610,82.1,0.723,1.5,179.1,722,92,73.1,19.7,71,24.8
45231-3B610,82.1,0.747,1.52,177.9,723.4,92,73.1,19.7,69,24.6
45231-3B610,82.1,0.75,1.513,180.6,722.3,91,73.1,19.7,68,23
45231-3B610,82.1,0.735,1.518,179.5,722.9,91,73,19.7,71,23.5
45231-3B610,82,0.75,1.511,180.5,721.4,92,73.1,19.7,72,24
45231-3B610,82,0.728,1.507,179.8,722.9,91,73.1,19.7,68,23.2
45231-3B610,82,0.748,1.506,179.4,723.5,91,73.1,19.7,67,23
45231-3B610,82,0.741,1.511,179.1,723.7,93,73.1,19.7,76,23.1
45231-3B610,82.1,0.743,1.497,178.8,722.8,91,73.2,19.7,70,24.3
45231-3B610,82.1,0.733,1.508,181.8,721.8,92,73.1,19.7,72,22.3
45231-3B610,82,0.738,1.496,178,722.9,91,73.1,19.7,71,25
45231-3B610,82.1,0.735,1.49,179.3,721.1,91,73.1,19.7,71,25.5
45231-3B610,82,0.736,1.503,177.9,723.1,91,73.3,19.7,72,24.9
45231-3B610,82.1,0.745,1.518,179.1,722.9,92,73.1,19.7,70,23.9
45231-3B610,82.1,0.731,1.516,180.3,721.4,92,73.2,19.7,74,24.2
45231-3B610,82.1,0.745,1.521,178,722.9,92,73.1,19.7,69,25
45231-3B610,82,0.741,1.514,180.1,721.8,92,73.1,19.7,75,24
45231-3B610,82,0.741,1.513,177.8,723.1,92,73.1,19.7,74,25
45231-3B610,82.1,0.733,1.508,180.5,720.9,91,73.2,19.7,69,24.5
45231-3B610,82.1,0.742,1.516,178.5,722.9,92,73.2,19.7,69,24.5
45231-3B610,82.1,0.741,1.514,180.5,722.1,91,73.2,19.7,71,23.3
45231-3B610,82,0.733,1.516,181.3,721,92,73.3,19.7,74,23.6
45231-3B610,82,0.736,1.504,181.4,721.8,91,73.2,19.7,71,22.7
45231-3B610,82,0.738,1.507,180.1,722.7,91,73.3,19.7,73,23.1
45231-3B610,82,0.734,1.519,179.7,722.7,92,73.1,19.7,65,23.5
45231-3B610,82,0.736,1.511,179.4,722.9,93,73.2,19.7,76,23.6
45231-3B610,82,0.721,1.524,179.2,722.9,92,73.2,19.7,70,23.8
45231-3B610,82,0.742,1.514,181.2,721.4,91,73.1,19.7,67,23.3
45231-3B610,82,0.747,1.527,178.8,722.8,91,73.1,19.7,66,24.3
45231-3B610,81.9,0.759,1.517,176.2,723.2,92,73.3,19.7,72,26.5
45231-3B610,81.9,0.727,1.517,179.2,721.6,92,73.2,19.7,66,25.1
45231-3B610,81.9,0.749,1.513,180,721.8,92,73.2,19.7,68,24.1
45231-3B610,81.9,0.734,1.506,176.5,722.6,91,73.3,19.7,73,26.8
45231-3B610,82.2,0.738,1.51,177.3,723.3,92,73.2,19.7,71,25.3
45231-3B610,81.4,0.742,1.518,177.3,722.8,92,73.2,19.7,70,25.8
45231-3B610,81.9,0.734,1.504,176.7,723.3,92,73.2,19.7,73,25.9
45231-3B610,81.9,0.744,1.509,177.4,723,91,73.2,19.7,65,25.5
45231-3B610,81.9,0.753,1.497,178.3,722.6,91,73.3,19.7,70,25
45231-3B610,81.8,0.733,1.506,178.5,722.9,91,73.2,19.7,69,24.5
45231-3B610,81.8,0.757,1.504,177.8,723.2,92,73.2,19.7,70,24.9
45231-3B610,82.1,0.75,1.516,178,722.5,92,73.2,19.7,69,25.4
45231-3B610,82,0.752,1.516,178.4,723.4,92,73.3,19.7,74,24.1
45231-3B610,82,0.728,1.519,179.8,722.1,91,73.3,19.7,70,24
45231-3B610,82.1,0.745,1.522,178.7,723.4,91,73.2,19.7,69,23.8
45231-3B610,82.1,0.739,1.513,180.8,721.3,91,73.3,19.7,72,23.8
45231-3B610,82,0.742,1.517,179.6,722.7,91,73.3,19.7,71,23.6
45231-3B610,82,0.735,1.514,181.2,720.9,91,73.4,19.7,73,23.8
45231-3B610,82.1,0.734,1.506,179.5,722.6,91,73.4,19.7,76,23.8
45231-3B610,82.1,0.725,1.497,179,723.4,92,73.2,19.7,72,23.5
45231-3B610,82,0.732,1.5,180,722.3,93,73.3,19.7,70,23.6
45231-3B610,82,0.728,1.501,179.2,722.7,92,73.4,19.7,67,24
45231-3B610,82,0.744,1.5,179.4,721.9,91,73.3,19.7,69,24.6
45231-3B610,81.9,0.741,1.501,177.3,723.1,91,73.3,19.7,69,25.5
45231-3B610,82,0.742,1.501,177.9,723.3,91,73.3,19.7,71,24.7
45231-3B610,82.1,0.745,1.496,175.7,724.6,92,73.4,19.7,72,25.6
45231-3B610,82.1,0.738,1.494,177.3,721.8,91,73.4,19.7,70,26.8
45231-3B610,82.1,0.732,1.469,177.2,721.9,92,73.4,19.7,69,26.8
45231-3B610,82.1,0.725,1.48,176.7,723.3,91,73.3,19.7,70,25.9
45231-3B610,82.2,0.731,1.497,178,721.8,91,73.4,19.7,78,26.1
45231-3B610,82.2,0.749,1.506,175.1,723.8,91,73.4,19.7,71,27
45231-3B610,82,0.734,1.499,177.9,722.9,92,73.4,19.7,72,25.1
45231-3B610,82.1,0.751,1.501,175,725.3,91,73.4,19.7,73,25.6
45231-3B610,82,0.723,1.486,179.2,722.7,93,73.4,19.7,76,24
45231-3B610,82,0.748,1.497,177.7,723.4,92,73.4,19.7,72,24.8
45231-3B610,82,0.742,1.496,178.3,723.4,92,73.5,19.7,74,24.2
45231-3B610,82,0.748,1.506,177.8,724.3,92,73.4,19.7,73,23.8
45231-3B610,81.9,0.748,1.5,178.1,723.7,92,73.4,19.7,71,24.1
45231-3B610,81.9,0.743,1.49,176.7,723.2,91,73.4,19.7,72,26
45231-3B610,82,0.733,1.493,178.1,723.1,91,73.4,19.7,70,24.7
45231-3B610,81.7,0.736,1.479,181,721.3,91,73.5,19.7,68,23.6
45231-3B610,81.9,0.748,1.464,175.1,724.8,91,73.5,19.7,69,26
45231-3B610,81.9,0.727,1.471,176.4,722.6,92,73.4,19.7,70,26.9
45231-3B610,81.9,0.651,1.48,220.5,677.6,91,73.5,19.7,69,27.8
45231-3B610,82.1,0.724,2.006,172.2,727.6,92,73.5,19.7,71,26.1
45231-3B610,82,0.742,1.569,170.2,728.7,91,73.5,19.7,72,27
45231-3B610,81.8,0.728,2.028,172.5,728.4,92,73.6,19.7,71,25
45231-3B610,82.1,0.72,1.413,171.9,726.9,91,73.6,19.7,74,27.1
45231-3B610,82.1,0.742,1.571,171.1,727.5,93,73.6,19.7,78,27.3
45231-3B610,82.1,0.739,2.019,171.6,728.3,92,73.6,19.7,72,26
45231-3B610,82.1,0.738,1.926,169.9,728.8,92,73.5,19.7,72,27.2
45231-3B610,82.1,0.744,1.466,172,727.3,92,73.5,19.7,72,26.6
45231-3B610,82.1,0.733,1.415,174.4,725.9,92,73.6,19.7,75,25.6
45231-3B610,82.1,0.744,1.415,174.4,725.4,91,73.6,19.7,68,26.1
45231-3B610,82.1,0.72,1.401,173.8,725.1,91,73.6,19.7,67,27
45231-3B610,82.1,0.751,1.425,173.8,726.8,92,73.6,19.7,73,25.3
45231-3B610,82.1,0.727,1.433,174,725.3,91,73.6,19.7,75,26.6
45231-3B610,82.1,0.731,1.436,174.1,725.6,92,73.7,19.7,71,26.2
45231-3B610,82.1,0.732,1.423,174.5,726.1,91,73.7,19.7,73,25.3
45231-3B610,82.1,0.731,1.434,175.4,725.4,92,73.8,19.7,72,25.1
45231-3B610,82.1,0.734,1.448,174.5,725.8,91,73.7,19.7,74,25.6
45231-3B610,82.1,0.731,1.442,174.1,725.5,91,73.8,19.7,77,26.3
45231-3B610,82.1,0.744,1.433,176,725.1,92,73.8,19.7,75,24.8
45231-3B610,82.1,0.74,1.447,177,725.4,91,73.7,19.7,71,23.5
45231-3B610,82.1,0.743,1.463,176.6,725,91,73.7,19.7,74,24.3
45231-3B610,82.1,0.734,1.448,174.1,725,91,73.7,19.7,75,26.8
45231-3B610,82,0.728,1.451,175.9,724.6,91,73.7,19.7,75,25.4
45231-3B610,81.9,0.733,1.464,174.7,725.3,91,73.7,19.7,76,25.9
45231-3B610,82.2,0.749,1.464,175.4,725.4,91,73.8,19.7,79,25.1
45231-3B610,82.2,0.736,1.484,176.8,724.8,91,73.7,19.7,75,24.3
45231-3B610,82.2,0.735,1.462,175.4,725.4,91,73.7,19.7,73,25.1
45231-3B610,82.1,0.745,1.478,176,726.1,91,73.7,19.7,73,23.8
45231-3B610,82.1,0.748,1.461,178.6,723,90,73.5,19.7,79,24.3
45231-3B610,82.2,0.723,1.483,170.6,723.2,91,26.8,19.7,72,32.1
45231-3B610,82.1,0.498,1.499,177.5,724.9,90,30.3,19.7,72,32.3
45231-3B610,82,0.503,1.499,177.5,724.9,91,30.2,19.7,72,30.8
45231-3B610,81.8,0.498,1.499,177.5,724.9,91,30,21.8,72,29
45231-3B610,81.8,0.758,1.499,177.5,724.9,92,73.9,19.7,72,23.5
45231-3B610,82,0.736,1.485,178.3,723.1,92,74,19.7,71,24.5
45231-3B610,82.2,0.736,1.507,177.2,724.2,92,74.1,19.7,71,24.5
45231-3B610,82.2,0.732,1.497,177.2,723.1,92,74.1,19.7,73,25.6
45231-3B610,81.6,0.738,1.509,176,724.6,91,74,19.7,69,25.3
45231-3B610,82,0.728,1.51,177.4,723.4,92,74,19.7,73,25.1
45231-3B610,82,0.738,1.512,176.6,723.3,92,74,19.7,75,26
45231-3B610,81.9,0.722,1.488,177.4,723.4,92,74.1,19.7,71,25.1
45231-3B610,81.9,0.732,1.497,177.6,722.8,92,74,19.7,69,25.5
45231-3B610,81.9,0.733,1.509,177,723.1,92,74,19.7,78,25.8
45231-3B610,81.9,0.747,1.507,176.2,723.4,92,74.1,19.7,70,26.3
45231-3B610,81.9,0.733,1.514,174.6,723.7,91,74,19.7,71,27.6
45231-3B610,81.8,0.724,1.491,178.2,722.5,92,73.9,19.7,70,25.2
45231-3B610,81.8,0.738,1.5,177.8,723,91,74,19.7,71,25.1
45231-3B610,81.9,0.733,1.516,177.8,723.5,92,74.1,19.7,72,24.6
45231-3B610,81.8,0.724,1.503,177.9,723.6,92,74,19.7,76,24.4
45231-3B610,81.9,0.736,1.507,176.8,723.6,92,74.1,19.7,73,25.5
45231-3B610,81.9,0.731,1.509,176.8,723.3,92,74,19.7,70,25.8
45231-3B610,81.8,0.728,1.499,177,723.3,92,74.1,19.7,77,25.6
45231-3B610,81.8,0.722,1.513,176,723.6,92,74.1,19.7,76,26.3
45231-3B610,81.8,0.718,1.494,178.2,722,92,74,19.7,69,25.7
45231-3B610,82,0.731,1.513,177.9,723.4,92,74,19.7,72,24.6
45231-3B610,82,0.742,1.507,176.9,723.1,92,74.1,19.7,72,25.9
45231-3B610,82,0.734,1.496,176.1,723.2,92,74.1,19.7,73,26.6
45231-3B610,82,0.728,1.515,176.5,722.4,93,74.1,19.7,73,27
45231-3B610,82,0.731,1.521,178.3,722.6,92,74.1,19.7,70,25
45231-3B610,82,0.725,1.515,177.5,724.1,91,74.1,19.7,71,24.3
45231-3B610,82,0.739,1.512,177.3,723.8,92,74.1,19.7,69,24.8
45231-3B610,82,0.734,1.506,178.5,723.3,92,74.1,19.7,71,24.1
45231-3B610,82,0.721,1.509,178.6,723.5,92,74.1,19.7,70,23.8
45231-3B610,82,0.735,1.504,177.6,723.2,93,74,19.7,74,25.1
45231-3B610,82,0.744,1.512,176.5,723.6,92,74,19.7,72,25.8
45231-3B610,82,0.713,1.509,176.5,723.1,92,74.1,19.7,75,26.3
45231-3B610,82,0.731,1.5,177.9,723.5,91,74.1,19.7,73,24.5
45231-3B610,82,0.743,1.507,175.4,724.1,92,74.1,19.7,74,26.4
45231-3B610,82.1,0.745,1.501,176.1,723.7,91,74.1,19.7,74,26.1
45231-3B610,82,0.75,1.513,176.5,724.1,92,74.1,19.7,74,25.3
45231-3B610,82,0.749,1.5,176,723.8,92,74.1,19.7,74,26.1
45231-3B610,82,0.735,1.506,177.5,722.9,92,74.1,19.7,70,25.5
45231-3B610,82,0.721,1.501,177.6,722.8,92,74.2,19.7,79,25.5
45231-3B610,82,0.724,1.51,178.3,722.9,91,74.1,19.7,72,24.7
45231-3B610,82,0.735,1.512,177.9,723.2,92,74.1,19.7,72,24.8
45231-3B610,82,0.741,1.518,177.8,723.1,92,74,19.7,69,25
45231-3B610,82,0.731,1.531,178.9,723.4,92,74.1,19.7,72,23.6
45231-3B610,82,0.733,1.512,179.4,722.1,92,74.1,19.7,70,24.4
45231-3B610,82,0.733,1.501,177.2,723.3,92,74.2,19.7,76,25.4
45231-3B610,82.1,0.747,1.512,177.5,723.6,92,74.1,19.7,76,24.8
45231-3B610,82.1,0.733,1.515,176.9,722.8,92,74.1,19.7,72,26.2
45231-3B610,82.1,0.742,1.487,178.2,723.4,92,74.2,19.7,78,24.3
45231-3B610,81.8,0.728,1.499,175.7,722.9,91,74,19.7,76,27.3
45231-3B610,82,0.727,1.509,176.8,722.6,91,74.1,19.7,74,26.5
45231-3B610,82.1,0.732,1.525,176.1,723.5,91,74.1,19.7,75,26.3
45231-3B610,82.1,0.738,1.516,175.8,723.6,91,74.2,19.7,72,26.5
45231-3B610,82.1,0.719,1.52,176.8,722.9,91,74.1,19.7,73,26.2
45231-3B610,82.1,0.721,1.507,177.2,723.4,92,74,19.7,73,25.3
45231-3B610,82.1,0.732,1.516,176.3,723.6,92,74.1,19.7,73,26
45231-3B610,82.1,0.723,1.523,177.1,723.4,92,74.1,19.7,71,25.4
