prod_no,fix_time,a_speed,b_speed,separation,s_separation,rate_terms,mpa,load_time,highpressure_time,c_thickness
90784-76001,86.4,0.609,1.689,246,657,96,77.9,18.1,66,21.3
90784-76001,86.4,0.609,1.678,245.4,657,95,77.9,18.1,59,21.9
90784-76001,86.5,0.609,1.675,246,657.4,95,77.7,18.1,59,20.9
90784-76001,86,0.605,1.673,247,657.4,96,78,18.1,59,19.9
90784-76001,86,0.608,1.685,247.1,657,95,78,18.1,58,20.2
90784-76001,87,0.606,1.698,248.7,656.9,95,77.9,18.1,58,18.7
90784-76001,86.2,0.608,1.701,248.5,657.1,95,78.1,18.2,84,18.7
90784-76001,86.7,0.611,1.697,246.5,657.1,95,78,18.1,56,20.7
90784-76001,86.7,0.61,1.669,248.4,657.1,96,78,18.1,57,18.8
90784-76001,86.2,0.603,1.67,244.1,656.9,96,78,18.2,61,23.3
90784-76001,85.6,0.606,1.673,244.5,657.1,95,77.9,18.1,60,22.7
90784-76001,85.6,0.606,1.688,248.8,657.4,95,77.8,18.1,64,18.1
90784-76001,86.5,0.606,1.704,249.4,656.9,95,78,18.2,60,18
90784-76001,86.5,0.604,1.704,243.2,657.2,95,78.1,18.2,60,23.9
90784-76001,86.4,0.604,1.692,242.4,656.9,95,78.1,18.1,56,25
90784-76001,86.2,0.61,1.692,246,657.1,95,78.1,18.1,85,21.2
90784-76001,86.8,0.612,1.665,244.2,657.1,95,77.8,18.1,54,23
90784-76001,86.8,0.614,1.689,246,657.3,95,78.1,18.1,55,21
90784-76001,86.1,0.606,1.677,247.2,656.9,95,78,18.2,61,20.2
90784-76001,86.1,0.606,1.677,249.7,656.8,95,77.8,18.1,66,17.8
90784-76001,86.7,0.608,1.682,250.8,656.8,96,77.7,18.2,60,16.7
90784-76001,86.7,0.608,1.681,247.6,656.8,95,77.8,18.1,71,19.9
90784-76001,86.3,0.607,1.688,242.5,657.1,95,78.2,18.1,56,24.7
90784-76001,86.3,0.608,1.675,241.8,657.3,95,78.3,18.2,57,25.2
90784-76001,86.2,0.611,1.684,245.5,657.2,96,78,18.1,54,21.6
90784-76001,86.3,0.606,1.678,248.8,657.1,95,77.9,18.1,59,18.4
90784-76001,86.3,0.603,1.698,246.4,657.4,95,78.4,18.1,55,20.5
90784-76001,86.2,0.609,1.688,244.1,657.2,96,78.3,18.1,55,23
90784-76001,86.3,0.612,1.684,245.7,657.3,95,78.1,18.1,66,21.3
90784-76001,86.3,0.605,1.688,246.7,656.9,95,78,18.1,56,20.7
90784-76001,86.6,0.613,1.685,246.4,657,95,78.2,18.1,58,20.9
90784-76001,86.5,0.608,1.707,245.9,657,95,78.2,18.1,61,21.4
90784-76001,86.4,0.602,1.699,246.3,657.2,95,78.2,18.1,82,20.8
90784-76001,86.4,0.604,1.702,244.4,657.1,95,78.3,18.1,58,22.8
90784-76001,86.6,0.609,1.698,245,657.2,95,78.5,18.1,76,22.1
90784-76001,86.6,0.613,1.702,244.4,657.3,95,78.4,18.1,55,22.6
90784-76001,86.6,0.603,1.703,246.9,657.1,95,77.8,18.1,56,20.3
90784-76001,86.7,0.61,1.696,243.2,657.3,95,78.3,18.1,59,23.8
90784-76001,86.2,0.606,1.679,243.6,657.4,95,78.4,18.1,59,23.3
90784-76001,86.6,0.611,1.69,250,657.3,95,77.5,18.2,61,17
90784-76001,86.6,0.609,1.695,243.6,657,95,78.2,18.1,52,23.7
90784-76001,85.8,0.606,1.692,245.8,657.1,95,78.1,18.2,61,21.4
90784-76001,85.5,0.606,1.695,251.3,656.9,94,77.3,18.1,58,16.1
90784-76001,85.5,0.609,1.691,244.9,657.4,94,78,18.2,67,22
90784-76001,86.2,0.607,1.696,244.6,657.2,94,78.3,18.1,65,22.5
90784-76001,85.2,0.608,1.699,244.7,657.1,94,78.1,18.1,70,22.5
90784-76001,85.2,0.612,1.717,240.6,657.5,94,78.3,18.1,65,26.2
90784-76001,86.6,0.614,1.723,245.4,657.4,94,78.1,18.1,62,21.5
90784-76001,86.6,0.604,1.707,244.5,657.1,94,78.2,18.1,65,22.7
90784-76001,86.8,0.604,1.697,242.9,657.1,95,78,18.1,60,24.3
90784-76001,86.9,0.604,1.713,244.6,657.3,94,78.3,18.1,66,22.4
90784-76001,86.4,0.604,1.702,241.1,656.9,95,78.3,18.2,61,26.3
90784-76001,86.7,0.612,1.704,242.7,657.6,94,78.2,18.1,56,24
90784-76001,86.3,0.609,1.706,245.7,657.4,94,78.1,18.1,65,21.2
90784-76001,86.3,0.608,1.702,244.8,657.1,94,78.4,18.2,85,22.4
90784-76001,86.8,0.602,1.708,244,656.9,93,78.4,18.1,64,23.4
90784-76001,86.7,0.614,1.704,242.9,656.9,94,78.5,18.1,81,24.5
90784-76001,86.7,0.609,1.701,247.1,656.7,93,78,18.2,58,20.5
90784-76001,86.3,0.61,1.702,245.2,657.1,93,78.2,18.2,61,22
90784-76001,86.2,0.608,1.711,243.3,657.5,94,78.6,18.1,58,23.5
90784-76001,86.9,0.604,1.709,241.8,657,94,78.4,18.2,62,25.5
90784-76001,86.4,0.611,1.708,242.1,657.5,94,78.4,18.2,55,24.7
90784-76001,86.3,0.608,1.699,243.8,657.3,95,78.3,18.1,61,23.2
90784-76001,86,0.611,1.712,241.9,657.4,94,78.4,18.1,61,25
90784-76001,86.8,0.607,1.7,240.7,657.3,94,78.6,18.1,55,26.3
90784-76001,86.8,0.608,1.695,241.5,657.6,94,78.5,18.2,61,25.2
90784-76001,86.3,0.61,1.703,240.2,657.6,95,78.7,18.2,56,26.5
90784-76001,86.2,0.611,1.7,239.4,657,94,78.5,18.1,61,27.9
90784-76001,86.2,0.607,1.712,241.5,657.3,95,78.6,18.2,59,25.5
